\bus 51

\busstop Карбышева дс
\days w
05	08 28 42 53
06	04 14 24 34 43 53
07	02 11 20 30 39 49 59
08	08 18 27 37 50
09	04 18 33 47
10	02 17 30 42 54
11	06 18 30 42 55
12	07 19 31 43 55
13	07 20 32 44 57
14	12 24 33 42 52
15	02 11 21 30 39 49 58
16	07 17 27 37 46 55
17	04 14 23 32 42 52
18	02 11 20 32 46
19	01 16 31 45
20	00 13 25 37 49
21	01 13 25 38 50
22	02 14 26 38 51
23	05 19 29 40 52
00	04 17
\days h
05	13 30 42 55
06	06 17 27 38 49
07	00 11 21 31 42 52
08	03 14 28 42 57
09	12 27 42 58
10	14 30 45 56
11	07 17 28 39 49
12	00 10 21 32 42 53
13	04 15 26 37 48
14	00 11 22 32 43 54
15	05 17 29 41 53
16	05 18 30 42 54
17	06 18 30 43
18	00 17 34 51
19	08 25 42 59
20	16 33 50
21	07 24 41 58
22	15 32 50
23	08 27 46
00	05

\busstop Филимонова ул.(библ)
\days w
05	26 46
06	00 11 22 32 42 52
07	01 11 20 29 38 48 57
08	07 17 26 36 45 55
09	08 22 36 51
10	05 20 35 48
11	00 12 24 36 48
12	00 13 25 37 49
13	01 13 25 38 50
14	02 15 30 42 51
15	00 10 20 29 39 48 57
16	07 16 25 35 45 55
17	04 13 22 32 41 50
18	00 10 20 29 38 50
19	04 19 34 49
20	03 18 31 43 55
21	07 19 31 43 56
22	08 20 32 44 56
23	09 23 37 47 58
00	10 22 35
\days h
05	31 48
06	00 13 24 35 45 56
07	07 18 29 39 49
08	00 10 21 32 46
09	00 15 30 45
10	00 16 32 48
11	03 14 25 35 46 57
12	07 18 28 39 50
13	00 11 22 33 44 55
14	06 18 29 40 50
15	01 12 23 35 47 59
16	11 23 36 48
17	00 12 24 36 48
18	01 18 35 52
19	09 26 43
20	00 17 34 51
21	08 25 42 59
22	16 33 50
23	08 26 45
00	04 23

\busstop Филимонова ул.(!библ)
\days w
05	33 49 59
06	11 21 31 40 45 56
07	07 17 27 37 46 56
08	05 14 23 33 42 52
09	02 11 21 30 40 53
10	07 21 36 50
11	05 20 33 45 57
12	09 21 33 45 58
13	10 22 34 46 58
14	10 23 35 47
15	00 15 27 36 45 55
16	05 13 24 33 42 52
17	01 10 20 30 40 49 58
18	07 17 26 35 45 55
19	05 14 23 35 49
20	04 19 34 48
21	03 16 28 40 52
22	04 16 28 41 53
23	05 17 29 40 54
00	09 26
\days h
05	51
06	16 33 45 58
07	09 20 30 41 52
08	03 14 24 34 45 55
09	06 17 31 45
10	00 15 30 45
11	01 17 33 48 59
12	10 20 31 42 52
13	03 13 24 35 45 56
14	07 18 29 40 51
15	03 14 25 35 46 57
16	08 20 32 44 56
17	08 21 33 45 57
18	09 21 33 46
19	03 20 37 54
20	11 28 45
21	02 19 36 53
22	10 27 44
23	01 18 35 53
00	11 30


\busstop Уручье 6(к Шаф.)
\days w
5 19 34 44 56	
6 06 16 25 30 41 52	
7 02 12 22 31 41 50 59
8 08 18 27 37 47 56	
9 06 15 25 38 52	
10 06 21 35 50
11 05 18 27 37 46 55	
12 06 18 30 43 55	
13 07 19 31 43 55
14 08 20 32 45	
15 00 12 21 30 40 50 58	
16 09 18 27 37 46 55
17 05 15 25 34 43 52
18 02 11 20 30 40 50 58
19 08 20 34 49 
20 04 19 33 48	
21 01 13 25 37 49	
22 01 13 26 38 50
23 02 14 25 39 54	
00 11	

\busstop Уручье-4
\days w
05	13 28 38 50
06	00 10 19 24 35 46 56
07	06 16 25 35 44 53
08	02 12 21 31 41 50
09	00 09 19 32 46
10	00 15 29 44 59
11	12 24 36 48
12	00 12 24 37 49
13	01 13 25 37 49
14	02 14 26 39 54
15	06 15 24 34 44 52
16	03 12 21 31 40 49 59
17	09 19 28 37 46 56
18	05 14 24 34 44 53
19	02 14 28 43 58
20	13 27 42 55
21	07 19 31 43 55
22	07 20 32 44 56
23	08 19 33 48
00	05
\days h
05	30 55
06	12 24 37 48 59
07	09 20 31 42 53
08	03 13 24 34 45 56
09	10 24 39 54
10	09 24 40 56
11	12 27 38 49 59
12	10 21 31 42 52
13	03 14 24 35 46 57
14	08 19 30 42 53
15	04 14 25 36 47 59
16	11 23 35 47
17	00 12 24 36 48
18	00 12 25 42 59
19	16 33 50
20	07 24 41 58
21	15 32 49
22	06 23 40 57
23	14 32 50
00	09
