name;officialName;description
Зелёный бор;Зелёный бор;конечная, Зелёный бор
Тубдиспансер;Тубдиспансер;Конечная - тубдиспансер
НИИ Онкологии;НИИ Онкологии;НИИ Онкологии, конечная
Областная больница;Областная больница;Областная больница
Карбышева дс;Карбышева дс;диспетчерская станция Карбышева
Карбышева ул.(из города);Карбышева ул.;В сторону Боровлян, Логойска
пов. на Малиновку(в Боровл.);пов. на Малиновку;поворот на Малиновку в сторну Боровлян. Возле Очага.
пов. на Малиновку(в Минск);пов. на Малиновку;поворот на Малиновку в сторну Минска. Возле Очага.
Уручье-4;Уручье-4;диспетчерская станция Уручье 4
Московский ав;Московский ав;Московский автовокзал
Дружная дс;Дружная дс;диспетчерская станция Дружная
Филимонова ул.(библ);Филимонова ул.;Филимонова, со стороны библиотеки
Филимонова ул.(!библ);Филимонова ул.;Филимонова, со стороны противоположной библиотеке
Уручье 6(к XX);Уручье 6;В сторону бизнес центра 'XX век'
Уручье 6(к Шаф.);Уручье 6;В сторону Шафарнянской
