\bus 86
\busstop ”ручье-4
\day w
\from site		
05	35 50
06	05 16 27 38 48 56
07	09 20 31 41 51
08	02 13 24 34 44 55
09	06 20 37 54
10	12 30 47
11	05 23 40 58
12	16 33 51
13	09 26 44
14	02 19 34 47 58
15	09 19 29 40 51
16	02 12 22 33 44 55
17	05 15 26 37 48 58
18	08 19 35 53
19	11 29 46
20	04 22 39 57
21	15 32 50
22	08 25 43
23	01 19 36 54
00	15
\day h
\from site
05	55
06	15 35 48
07	01 14 28 41 54
08	07 21 34 47
09	00 20 40
10	05 28 48
11	10 30 51
12	07 23 37 50
13	03 16 30 43 56
14	09 23 38 53
15	07 21 34 51
16	09 27 44
17	02 20 37 55
18	20 51
19	23 56
20	16 35 53
21	11 28 46
22	04 20 39 59
23	20

\busstop п.ќзерище
\day w
\from site
06	00 15 29 41 52
07	03 13 20 34 45 56
08	06 16 27 38 49 59
09	09 20 31 44
10	02 19 37 55
11	12 30 48
12	05 23 41 58
13	16 34 51
14	09 27 44 59
15	12 23 34 44 54
16	05 16 27 37 47 58
17	09 20 30 40 51
18	02 13 23 33 43
19	00 18 36 54
20	11 29 47
21	04 22 40 57
22	15 33 50
23	08 26 44
00	01 19 39
\day h
\from site
06	20 40
07	00 13 26 39 53
08	06 19 32 46 59
09	12 25 45
10	05 30 53
11	13 35 55
12	16 32 48
13	02 15 28 41 55
14	08 21 34 48
15	03 18 32 46 59
16	16 34 52
17	09 27 45
18	02 20 45
19	16 48
20	21 41
21	00 18 36 52
22	11 29 44
23	04 24 45


\derive ћетро ”ручье(в центр);п.ќзерище;6;w h
