\bus 155
\busstop ”ручье-4

\day w
\from site
05	43
06	41
07	36
08	30
09	28
11	15
12	11
13	13
14	12
15	14
16	16
17	11
18	12
19	06
21	06
22	12
23	09
00	04

\day h
\from site
05	43
06	41
07	36
08	30
09	28
11	15
12	11
13	13
14	12
15	14
16	16
17	11
18	12
19	06
21	06
22	12
23	09
00	04

\busstop п.ќзерище
\day w
\from site
06	10
07	07
08	02 56
09	55
11	42
12	37
13	39
14	38
15	40
16	42
17	37
18	38
19	32
21	32
22	39
23	35
00	29

\day h
\from site
06	10
07	07
08	02 56
09	55
11	42
12	37
13	39
14	38
15	40
16	42
17	37
18	38
19	32
21	32
22	39
23	35
00	29


\derive ћетро ”ручье(в центр);”ручье-4;6;w h
