\bus 55
\busstop Уручье-2 дс
\day w
\from site		
05	25 36 47 58
06	09 21 32 42 53
07	03 18 28 38 48 58
08	15 25 35 45 58
09	21 38 55
10	18 35 51
11	11 33 49
12	11 28 48
13	10 26 47
14	06 17 29 41 50
15	07 18 28 38 48
16	04 15 25 35 45
17	02 12 22 31 40 58
18	09 19 28 39 54
19	17 35 51
20	07 29 46
21	06 29 43
22	06 23 43
23	01 22 38 57
00	15

\day h
\from site		
05	23 42
06	01 16 28 44 57
07	10 22 38 51
08	03 19 32 50
09	12 30 47
10	06 22 40
11	02 16 35 48 58
12	17 29 41 52
13	11 23 34 46
14	04 19 32 48
15	01 13 27 40 58
16	11 23 36 51
17	04 16 29 46
18	00 10 24 43
19	00 18 35 53
20	16 34 52
21	10 28 46
22	04 22 40 58
23	16 36
00	04

\derive Метро Уручье(в центр);Уручье-2 дс;14;w h
\derive парк уручье(к Городецкой);Уручье-2 дс;15;w h
