name;officialName;description
Зелёный бор;Зелёный бор;Квартал Зелёный Бор
Тубдиспансер;Тубдиспансер;Конечная
НИИ Онкологии;НИИ Онкологии;Конечная
Областная больница;Областная больница;В сторону Минска
Карбышева дс;Карбышева дс;Конечная
Карбышева ул.(из города);Карбышева ул.;В сторону Боровлян, Логойска
пов.на Малиновку(в Боровл.);пов.на Малиновку;В сторну Боровлян, возле Очага.
пов.на Малиновку(в Минск);пов.на Малиновку;В сторну Минска, возле Очага.
Уручье-4;Уручье-4;Конечная, возле стройрынка
Московский ав;Московский ав;Автовокзал, конечная
Дружная дс;Дружная дс;Конечная, ЖД вокзал
Филимонова ул.(библ);Филимонова ул.;Со стороны библиотеки
Филимонова ул.(!библ);Филимонова ул.;Со стороны противоположной библиотеке
Уручье 6(к XX);Уручье 6;В сторону бизнес центра 'XX век'
Уручье 6(к Шаф.);Уручье 6;В сторону Шафарнянской, в центр
ст.м.Московская(на Уручье);Ст.м.Московская;в сторону Уручья
п.Лесной(в Минск);п.Лесной;Не возле Явара
п.Лесной(Явар);п.Лесной;Возле магазина Явар
п.Лесной(в Зел.Бор);п.Лесной;Не возле Явара, в сторону Зелёного Бора
Я.Коласа(Филармония);Я.Коласа;Со стороны филармонии, ЦУМА. На Уручье, Боровляны
Экспоцентр(из города);Экспоцентр;Из Минска, в сторону Логойска, Боровлян
Волгоградская(метро);Волгоградская;Возле метро Московская, в сторону ул. Я.Коласа
Рогачевская ул.(к ДС);Рогачевская ул.;От 9км к Дворцу Спорта
Уручье-2 дс;Уручье-2 дс;Диспетчерская станция Уручье-2
Метро Уручье(на 9-км);Метро Уручье;Возле метро Уручье в сторону от центра, на 9-км
Путепровод(Виталюр);Путепровод;Остановка возле маг.Виталюр на 9-км
Славинского дс;Славинского дс;Диспетчерская станция Славинского (возле военной академии)
п.Озерище;п.Озерище;посёлок Озерище
Карбышева дс(555);Карбышева дс;Остановка напротив ЗАГСа, салона мебели 555. В сторону Уручья.
Метро Уручье(в центр);Метро Уручье;Возле метро Уручье в сторону центра
парк уручье(к Городецкой);парк Уручье;К улице городецкой, к бизнес центру XXI век, к 28 поликлинике
